_month,_previousMonth,_previousYear,Date,Industry (NAICS)1,_valueConnector,Dollars
January2014,2013-12-01,2013-01-01,1/1/2014,"Sporting goods, hobby, book and music stores",17903000,17903000
February2014,2014-01-01,2013-02-01,2/1/2014,"Sporting goods, hobby, book and music stores",14404000,14404000
March2014,2014-02-01,2013-03-01,3/1/2014,"Sporting goods, hobby, book and music stores",17720000,17720000
April2014,2014-03-01,2013-04-01,4/1/2014,"Sporting goods, hobby, book and music stores",19336000,19336000
May2014,2014-04-01,2013-05-01,5/1/2014,"Sporting goods, hobby, book and music stores",19782000,19782000
June2014,2014-05-01,2013-06-01,6/1/2014,"Sporting goods, hobby, book and music stores",18786000,18786000
July2014,2014-06-01,2013-07-01,7/1/2014,"Sporting goods, hobby, book and music stores",18503000,18503000
August2014,2014-07-01,2013-08-01,8/1/2014,"Sporting goods, hobby, book and music stores",22031000,22031000
September2014,2014-08-01,2013-09-01,9/1/2014,"Sporting goods, hobby, book and music stores",23741000,23741000
October2014,2014-09-01,2013-10-01,10/1/2014,"Sporting goods, hobby, book and music stores",20494000,20494000
November2014,2014-10-01,2013-11-01,11/1/2014,"Sporting goods, hobby, book and music stores",27247000,27247000
December2014,2014-11-01,2013-12-01,12/1/2014,"Sporting goods, hobby, book and music stores",39406000,39406000
January2015,2014-12-01,2014-01-01,1/1/2015,"Sporting goods, hobby, book and music stores",16454000,16454000
February2015,2015-01-01,2014-02-01,2/1/2015,"Sporting goods, hobby, book and music stores",13463000,13463000
March2015,2015-02-01,2014-03-01,3/1/2015,"Sporting goods, hobby, book and music stores",17496000,17496000
April2015,2015-03-01,2014-04-01,4/1/2015,"Sporting goods, hobby, book and music stores",20754000,20754000
May2015,2015-04-01,2014-05-01,5/1/2015,"Sporting goods, hobby, book and music stores",20523000,20523000
June2015,2015-05-01,2014-06-01,6/1/2015,"Sporting goods, hobby, book and music stores",19078000,19078000
July2015,2015-06-01,2014-07-01,7/1/2015,"Sporting goods, hobby, book and music stores",20635000,20635000
August2015,2015-07-01,2014-08-01,8/1/2015,"Sporting goods, hobby, book and music stores",22421000,22421000
September2015,2015-08-01,2014-09-01,9/1/2015,"Sporting goods, hobby, book and music stores",23125000,23125000
October2015,2015-09-01,2014-10-01,10/1/2015,"Sporting goods, hobby, book and music stores",21619000,21619000
November2015,2015-10-01,2014-11-01,11/1/2015,"Sporting goods, hobby, book and music stores",29706000,29706000
